year,borough,hour,injured,killed
2018,Brooklyn,13,1256,2
2018,Brooklyn,14,1631,6
2018,Brooklyn,15,1954,0
2018,Brooklyn,16,1775,4
2018,Brooklyn,17,1998,2
2018,Brooklyn,18,1862,6
2018,Brooklyn,19,1579,0
2018,Brooklyn,20,1406,8
2018,Brooklyn,21,1289,10
2018,Brooklyn,22,998,0
2018,Brooklyn,23,884,8
2018,Manhattan,0,502,0
2018,Manhattan,1,242,0
2018,Manhattan,2,211,2
2018,Manhattan,3,220,2
2018,Manhattan,4,175,0
2018,Manhattan,5,188,0
2018,Manhattan,6,264,2
2018,Manhattan,7,312,4
2018,Manhattan,8,443,0
2018,Manhattan,9,520,0
2018,Manhattan,10,400,2
2018,Manhattan,11,474,2
2018,Manhattan,12,605,0
2018,Manhattan,13,539,2
2018,Manhattan,14,690,0
2018,Manhattan,15,538,4
2018,Manhattan,16,675,0
2018,Manhattan,17,721,2
2018,Manhattan,18,638,2
